SampleID,Conclusion
S20_3683,Raccoon*
S20_3795,Raccoon*
S20_3803,FAIL
S20_3805,Gray fox or FAIL
S20_3819,Raccoon*
S21_0004,Raccoon*
S21_0030,FAIL
S21_0046,FAIL
S21_0048,Gray fox or FAIL
S21_0054,FAIL
S21_0059,FAIL
S21_1100,FAIL
S21_1114,Gray fox or FAIL
S20_3853,Marin Felid
S20_3861,Marin Felid
S21_2058,Marin Felid
S21_2059,Marin Felid
S21_2412,Raccoon
S21_2778,FAIL?
S21_2779,FAIL?
S21_3233,FAIL?
S21_3257,FAIL?
S21_3373,FAIL?
S21_4900,FAIL?
S21_5069,Marin Felid
S22_0837,Marin Felid
S22_0842,Marin Felid
