Territory,ISA,Urban,Food.Services,Pop.Den.2020,Housing.Den.2020
Bernal,72.62389,95.0157548,118,7757.412777,3448.4839
Coit,80.89182058,98.1426202,328,12748.61043,8211.9403
Corona,70.74563162,92.2085362,273,11008.21684,6081.4883
GGP - East,48.31317558,65.8892128,124,5993.405668,2799.5799
GGP - West,44.37580175,59.1226031,53,4442.256939,1843.1315
Glen,51.1756447,78.739255,27,3531.666164,1972.1208
Land's End,41.43529862,55.5381605,47,4165.773811,1870.8629
McLaren,42.22761194,62.1350887,14,4530.800295,1516.26
Merced,24.02176918,42.8421788,16,1843.678029,1223.2806
Presidio,17.71913669,30.7559644,5,854.9744011,414.4337
St. Francis,60.90609791,93.2150014,93,4087.246579,1598.8896
Sunset Res,77.49928305,98.53742472,107,7714.819983,2815.9971
