SampleID,Run,Anatidae,Batrachoseps attenuatus,Bos taurus,Brevoortia,Buteo,Cairina moschata,Canis,Cervus elaphus,Colaptes auratus,Columbidae,Corvus,Didelphis virginiana,Felidae,Felis catus,Gallus gallus,Homo sapiens,Junco hyemalis,Mephitis mephitis,Micropterus,Microtus californicus,Mus musculus,Neotamias,Neurotrichus gibbsii,Odocoileus,Oreochrimini,Oreortyx pictus,Ovis aries,Passer domesticus,Passeriformes,Peromyscus,Procyon lotor,Puma concolor,Rattus norvegicus,Rattus rattus,Salmo salar,Scombridae,Sorex,Spilogale gracilis,Sus scrofa,Sylvilagus bachmani,Thomomys bottae,Trochilidae,Turdus migratorius,Tyto alba,Urocyon cinereoargenteus,Ursus americanus,Zalophus californianus
S20_3645,MiniExp,0,0,0,0,0,0,153,0,0,0,0,0,40,0,0,0,0,0,0,35,0,0,0,0,0,1399,0,0,0,0,27,0,0,0,0,0,0,0,0,0,44,0,0,0,200,0,0
S20_3646,MiniExp,0,0,0,0,0,0,2452,0,0,0,0,0,0,0,1351,0,0,0,0,0,0,0,0,10,0,161,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,167,0,0
S20_3647,MiniExp,0,0,0,0,0,0,272,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,15,0,0,0,4,0,7,0,0,0,0,0,0,0,0,4385,0,0,0,0,0,0
S20_3648,MiniExp,0,0,0,0,0,0,2070,0,0,0,0,0,0,0,1460,49,0,0,0,0,0,0,0,0,0,174,0,0,0,15,0,0,0,0,0,0,0,0,0,0,130,0,0,0,68,0,0
S20_3649,MiniExp,0,0,0,0,0,0,70,0,0,0,0,0,0,0,1201,6,0,0,0,193,0,0,0,0,0,198,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,246,0,0
S20_3650,MiniExp,0,0,0,0,0,0,345,0,0,0,0,0,0,0,0,0,46,0,0,6,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3175,0,0,0,0,0,0
S20_3651,MiniExp,21,0,49,0,0,0,1435,0,0,0,60,0,0,0,0,8,0,917,0,10,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1661,0,0,0,14,0,0
S20_3652,MiniExp,0,729,0,0,0,0,1919,0,0,0,0,0,0,0,36,20,513,0,0,0,0,0,0,0,0,0,0,0,0,0,792,0,0,33,0,0,0,0,0,0,0,0,0,0,94,12,0
S20_3653,MiniExp,0,0,0,0,0,0,2755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,1736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S20_3654,MiniExp,0,0,0,0,0,0,2609,0,0,0,0,0,0,0,1851,0,15,0,0,0,68,0,0,0,0,0,0,0,0,0,14,0,0,45,0,0,0,0,0,0,25,0,0,0,20,0,0
S20_3655,MiniExp,0,0,0,0,0,0,2520,0,0,0,0,0,0,0,0,13,72,0,0,0,0,0,0,0,0,76,0,0,0,0,30,0,0,0,0,0,0,0,0,0,6,0,0,0,48,0,0
S20_3656,MiniExp,0,0,55,0,0,0,2090,0,0,0,0,0,0,0,2217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,673,0,0,0,0,0,0,0,0,0,0,0,0,0
