SampleID,Run,Acipenser,Anatidae,Anserinae,Balaenoptera physalus,Bos taurus,Brevoortia,Cairina moschata,Canis,Cervus elaphus,Chanos chanos,Clupeidae,Colaptes auratus,Columbidae,Corvus,Engraulis,Felidae,Felis catus,Gallus gallus,Gulo gulo,Homo sapiens,Hypomesus nipponensis,Junco hyemalis,Mephitis mephitis,Micropterus salmoides,Microtus californicus,Morone chrysops,Mus musculus,Oncorhynchus,Oreochrimini,Orthodon microlepidotus,Passer domesticus,Passeriformes,Perognathus parvus,Peromyscus,Phoca vitulina,Phoebastria albatrus,Procyon lotor,Puma concolor,Rattus norvegicus,Rattus rattus,Salmo salar,Sciurus carolinensis,Sciurus niger,Sturnus vulgaris,Sus scrofa,Sylvilagus bachmani,Thomomys bottae,Turdus migratorius,Urocyon cinereoargenteus,Ursus americanus
S21_1258,MiniExp,0,0,0,0,0,0,0,566,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,24,0,0,0,2520,0,0,0
S21_1269,MiniExp,0,0,0,99,4,0,0,1038,0,0,0,0,0,755,0,0,0,1023,0,3,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2503,160,0,11642,0,0,0
S21_1270,MiniExp,0,0,0,0,0,29,0,1287,0,0,0,0,0,0,0,0,0,8027,0,0,0,0,0,0,0,0,0,0,1041,0,0,0,119,17,0,0,0,0,22,0,203,0,0,0,565,0,590,0,67,169
S21_1271,MiniExp,0,0,0,0,0,0,0,1186,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,571,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,4190,0,0,506
S21_1272,MiniExp,0,0,0,40,0,0,0,1082,0,0,0,0,0,0,0,0,0,339,0,0,0,0,0,0,0,0,15,0,0,64,0,9134,0,6,0,0,0,0,0,0,0,0,0,0,2997,2582,742,0,0,0
S21_1273,MiniExp,0,0,0,0,14,0,0,2735,0,0,0,0,0,0,0,0,0,1179,0,0,0,0,0,0,1040,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,10996,0,17,0
S21_1274,MiniExp,0,13,0,0,0,0,0,300,0,0,0,0,0,428,0,0,0,7194,0,3,0,0,0,0,0,0,0,0,0,0,0,369,0,0,18,0,0,0,0,0,0,0,0,0,307,0,9855,0,0,0
S21_1275,MiniExp,0,0,0,861,0,0,0,911,0,0,0,0,0,4629,0,0,0,0,0,202,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,25,0,428,0,0,0
S21_1276,MiniExp,0,0,0,0,0,685,0,7588,4327,0,0,0,0,0,0,0,0,339,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,797,0,0,0,66,0
S21_1277,MiniExp,0,0,0,0,0,0,0,3991,0,0,0,0,0,0,0,0,0,29,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,0
S21_1278,MiniExp,0,0,0,0,0,0,0,1912,0,0,0,0,0,0,0,0,0,1638,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,3,0,225,0
S21_1279,MiniExp,0,0,0,0,47,0,0,2997,0,0,0,0,0,0,0,0,0,33,0,45,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0
S21_1280,MiniExp,0,0,0,0,0,0,0,580,0,0,0,0,0,166,0,0,0,8354,0,634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1658,0,0,0,169,0
S21_1281,MiniExp,0,0,0,0,0,0,0,847,0,0,0,0,0,5032,0,0,0,3558,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,224,0,13,0,273,0
S21_1282,MiniExp,0,0,0,0,0,0,0,2728,0,0,0,0,0,0,0,0,0,8277,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2433,0,60,0
S21_1283,MiniExp,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,778,0,631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,0,0,0,0,0,0,0,824,0,0,0
S21_1284,MiniExp,0,0,0,0,27,0,0,451,0,0,0,0,0,11053,0,0,0,378,0,0,0,53,0,0,0,0,1308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5565,0,0,0
S21_1286,MiniExp,0,29,64,0,0,0,0,1358,0,0,0,0,0,0,0,0,0,3606,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,6185,0,63,0
S21_1287,MiniExp,0,0,0,0,0,0,0,578,0,0,0,0,0,0,0,0,0,3235,0,89,0,0,0,0,20,0,0,0,0,0,0,818,0,7,0,0,0,0,0,0,0,0,0,0,0,0,12204,0,145,0
S21_1288,MiniExp,0,0,0,0,0,0,0,343,0,0,0,0,51,0,0,0,0,435,0,76,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2807,0,4770,0,161,0
S21_1289,MiniExp,0,0,0,0,0,0,0,4085,0,0,0,0,0,0,0,0,34,237,0,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1312,0,0,0
S21_1290,MiniExp,0,0,0,0,0,0,0,5904,0,0,0,0,0,0,0,0,0,862,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,0,0,0,0,0,0,0,0,0,1226,0,0,0
S21_1291,MiniExp,0,0,0,0,0,0,0,1619,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,2862,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,11613,0,30,4
S21_1292,MiniExp,0,0,0,0,0,0,0,930,0,0,0,0,969,0,0,0,0,8270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1931,0,7306,0,0,0
S21_1293,MiniExp,0,0,0,0,0,0,0,572,0,0,0,0,969,0,0,0,0,1874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2540,0,10248,0,0,0
