SampleID,Replicate,Acipenser,Anatidae,Anserinae,Aythya,Balaenoptera.physalus,Batrachoseps.attenuatus,Bos.taurus,Brevoortia,Buteo,Cairina.moschata,Capra.hircus,Catharus,Cavia.porcellus,Chanos.chanos,Clupeidae,Columbidae,Corvus,Cyprinus.carpio,Didelphis.virginiana,Engraulis,Felis.catus,Fulica.americana,Gadus.morhua,Gallus.gallus,Junco.hyemalis,Lithobates.catesbeianus,Mephitis.mephitis,Merluccius,Microtus.californicus,Morone.chrysops,Mus.musculus,Neotamias,Numida.meleagris,Oncorhynchus,Oryctolagus.cuniculus,Otospermophilus.beecheyi,Ovis.aries,Passer.domesticus,Passeriformes,Peromyscus,Plestiodon.skiltonianus,Procyon.lotor,Psaltriparus.minimus,Rattus.norvegicus,Rattus.rattus,Salmo.salar,Scapanus.latimanus,Sciurus.carolinensis,Sebastes,Sorex,Sturnus.vulgaris,Sus.scrofa,Sylvilagus.bachmani,Thomomys.bottae,Tilapia,Trochilidae,Turdus.migratorius,Tyto.alba,Zalophus.californianus
S20_3645,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.260260586,0,0,0,0,0,0,0,0,0,0,0,0,0.499511401,0,0,0,0,0,0,0,0,0,0.235179153,0,0.00504886,0,0,0,0,0
S20_3647,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
S20_3648,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.963373209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036626791,0,0,0,0,0
S20_3649,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.680744699,0,0,0,0,0.097052232,0,0,0,0,0,0,0,0,0,0,0,0,0.222203068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S20_3650,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036326014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.963673986,0,0,0,0,0
S20_3651,None,0,0.006760209,0,0,0,0,0.009472153,0,0,0,0,0,0,0,0,0,0.073890658,0,0,0,0,0,0,0.018629879,0,0,0.658530834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232716268,0,0,0,0,0
S20_3652,None,0,0,0,0,0,0.16850348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241009281,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011020882,0,0,0.579466357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S20_3653,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S20_3654,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.926591088,0,0,0,0,0,0,0.036760579,0,0,0,0,0,0,0,0,0,0,0.01801549,0,0,0.018632843,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S20_3656,None,0,0,0,0,0,0,0.012423695,0.010403233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.736265153,0.001633565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239274353,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S20_3657,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.871506284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128493716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S20_3660,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
S20_3664,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.964698688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008227707,0,0,0,0,0,0,0,0.027073605,0,0,0,0,0,0,0
S20_3665,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005077753,0,0.994922247,0,0,0,0,0
S20_3666,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.681655075,0,0,0,0,0.130288398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188056528,0,0,0,0,0
S20_3667,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024180719,0,0,0,0,0,0,0,0,0,0,0,0,0.297009227,0,0,0,0,0,0,0,0,0,0,0.207445116,0.471364938,0,0,0,0,0
S20_3668,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.687548013,0.042880089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045533906,0,0,0,0,0,0,0,0,0,0,0,0.224037991,0,0,0,0,0
S20_3669,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03850365,0,0,0,0,0.009625912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.951870438,0,0,0,0,0
S20_3670,None,0,0,0,0,0,0,0,0.015596176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64089664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020291799,0,0,0,0,0,0,0,0,0,0.03879479,0.066409525,0.218011068,0,0,0,0,0
S20_3671,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01343033,0,0,0,0,0,0,0,0.255316172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087297146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.643956351,0,0,0,0,0
S20_3673,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S20_3674,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S20_3679,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.446695543,0,0,0.304736621,0,0,0,0,0.248567836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S20_3680,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.820178336,0,0,0,0,0,0,0,0.011641347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168180317,0,0,0,0,0,0,0
S20_3681,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.700476971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122671039,0,0,0,0,0,0,0,0,0,0,0,0.17685199,0,0,0,0,0,0,0
S20_3682,None,0,0,0,0,0,0,0.010657922,0,0,0,0,0,0,0,0,0.096741135,0,0,0,0,0,0,0,0.695634351,0,0,0,0,0,0,0.196966592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S20_3684,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011554995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.988445005,0,0,0,0,0
S20_3685,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053375286,0,0,0,0,0.131864989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055949657,0,0.758810069,0,0,0,0,0
S20_3687,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S20_3689,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007637309,0,0,0,0,0,0.009912252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.982450439,0,0,0,0,0
S20_3690,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.518769372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.292503731,0,0.188726897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S20_3693,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00724166,0,0,0,0,0.483279089,0,0,0,0,0.215703824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.264320586,0,0,0,0.029454841,0
